title,year,movie_id,title_new,country,cast_IDs,cast_names,genres,rating,year_new,type
100 Days My Prince,2018,8199972,100 Days My Prince,kr,"6765553,2305471,1443295,3498542,9170918,7890339,4220584,9350760,2288497,6019545,3606690,10108058,0025548,0497352,10108072,4727057,9274917,9513237,9256063,4782737,12523470,8446544,10081015","Kyung-soo Do,Nam Ji-Hyun,Jo Sung-ha,Jo Han-chul,Kim Seon-Ho,Hae-Kyun Jung,Min-ji Lee,Han So-hee,Jeong-min Heo,Jae-young Kim,Lee Joon-hyuk,Yeon-ah Oh,Ahn Suk-hwan,Hye Eun Lee,Min-Hyuk Ji,Woong Choi,Gi-doo Kim,Eun-Jung Heo,Ji-Hoon Jung,Ji-han Do,Kang Young-Seok,Han Ji-Eun,Tae Won-suk","Action,Comedy,History,Romance",7.7,2018.0,tv series
12 Years Promise,2014,5476252,12 Years Promise,kr,"10213650,1452474,1224530,0046276,6857341,3753372,1141657,3628470,1045682,3852933,3049976,0420082,1357269,1937349,1408933,0497362,4743210,5900682,1999459,7270574","Im Ji-Hyun,So-yeon Lee,Min Namkoong,Chong-ok Bae,Ro-Woon Choi,Won-hong Choi,Ho-jin Chun,Shin Dong-mi,Jeong Gyu-Su,Park Hae-mi,Eom Hyo-Seob,Su-Won Ji,Chan Jung,Shi-hoo Kim,Yeong-ran Kim,Han-wi Lee,Tae-im Lee,Won-geun Lee,Seung-yoon Oh,Woo Rim Seo","Comedy,Drama,Romance",7.4,2014.0,tv series
18 Again,2020,12846096,18 Again,kr,"6327190,2341244,9946376,7591921,11794543,6916576,3011544,11972843,11972842,9665672,6617679,5516142,11972839,11683516,11947727,5901828,8241451,11972950,11434086,0453605,1305598,0014215,2293535,11972841,11972951,11972840,12057710,11973635,2892548,11989089,12057771,2442175,6771509,2954105,8471274,7890339,8953986,9468152,11854308,1060442,12058317,12058188,8471266,2288497,5993464,10984169,7967853,6583532,12057711,3030681","Ha-neul Kim,Yoon Sang-Hyun,Lee Do-Hyun,No Jeong-ee,Ryeoun,Kang-hyeon Kim,Mi-do Lee,Choi Bo-Min,Hwang In-Yeop,Wi Ha-Joon,Kim Yoon-hye,Yoo-Ri Kim,Oh So-Hyun,Yang Dae-Hyeok,So-Eun Han,Jang Hyuk-jin,Eun Min Ko,Ryu Da-Bin,Lee Eun Jae,Kim Mi-Kyung,Ki-woo Lee,Ahn Nae-sang,Byung-Joon Lee,Oh Ja-Hun,Kim Joong-Ki,Lee Nam-Gyeong,Yoon Byul-Ha,Kim Sun-Min,Jae-Hwan Choi,Yoon Jung-Hoon,Lee Cheon-Mu,Yeo-woon Han,Kim Hye-hwa,Ji Kyu Im,Ryun Jo,Hae-Kyun Jung,Kang-Hoon Kim,Yoo-Hyun Song,Seo Yi-Soo,Lee Eol,Ki Eun-Yoo,Seo Ha-Yoon,Jae-Ho Heo,Jeong-min Heo,Kwak Ja-hyoung,Sung-kyu Jang,Moon Ji-In,Hyun-Moo Jun,Yoo Jun-Hoo,Dong-Hyun Kim","Comedy,Fantasy,Romance",8.2,2020.0,tv series
365: Repeat the Year,2020,12015466,365: Repeat the Year,kr,"3789806,2305471,1790874,11794543,12016813,10529132,3075771,10224072,12330404,4365014,9368455,6044719,7254989,5874950,1020006","Lee Joon-hyuk,Nam Ji-Hyun,Kim Ji-Soo,Ryeoun,Lee Tae-Vin,Ha-Kyung Kim,Soo-Jang Baek,Lee Ho-Cheol,Kim Kyeong-min,Kim Bi-bi,Woo Jin Kim,Min-sung Jung,Lee Shi-Ah,Jun Suk-ho,Dong-kun Yang","Crime,Drama,Fantasy,Mystery,Thriller",8.1,2020.0,tv series
4 Legendary Witches,2014–15,4449190,The Legendary Witch,kr,"1623740,5754288,1085809,5204923,2291768,2188884,7123486,4275960,1090119,2726270,1067170,3482745,0661886,0661845","Ji-hye Han,Yeon-Soo Ha,Du-shim Ko,Hyun-Kyung Oh,Ha Seok-jin,Jeong-su Byeon,Sang-woo Do,In-hwa Jeon,Hye-seon Jeong,Young-Sun Kim,Jong-Won Lee,Seung-Joon Lee,Geun-hyeong Park,In-hwan Park","Drama,Romance",7.6,2014.0,tv series
49 Days,2011,1935066,49 Days,kr,"1030827,3512139,1450227,3015991,3664406,1981533,5433623,3853513,1092385,0814171,3746849,6116822","Yo-won Lee,Gyu-ri Nam,Hyeon-jae Jo,Il-Woo Jung,Soo-bin Bae,Seo Ji-hye,Geu-rin Bae,Jung-woo Choi,Seong-min Kang,Byung-ho Son,Bong-gil Yoon,Ho-Chang Kim","Drama,Fantasy,Romance",8.0,2011.0,tv series
7 First Kisses,2016–17,6353134,Seven First Kisses,kr,"3738640,1763620,7254991,3865611,0158830,4062328,8277258,3316279,4641488","Park Hae-Jin,Lee Joon-Gi,Cho-hee Lee,Ji Chang-Wook,Choi Ji-woo,Lee Jong-Suk,Kai,Lee Min-Ho,Taecyeon","Short,Comedy,Fantasy,Romance",6.2,2016.0,tv mini series
7th Grade Civil Servant,2013,3061226,7th Grade Civil Servant,kr,"4276462,0497352,0158763,4855119,5832827,4579997,0230714,5077687,5832829,2263791,4733786,0497362,0453605,0014215,5832826,1137050,1865097,1593423,1559446,6617677,4643037,5832834,5832832,5360048","Joo Won,Hye Eun Lee,Kang-hee Choi,Hwang Chan-sung,Seung Yoon Byun,Jong-hwan Choi,Young Jae Dok-Go,Lee El,Yoon Ho Im,Claudia Kim,Min-seo Kim,Han-wi Lee,Kim Mi-Kyung,Ahn Nae-sang,Jin Young Son,Im Ye-jin,Jang Young-Nam,Tae-woong Eom,In-gi Jeong,Choe Min,Young Hak No,Ji Seung Seo,Seung Man Seo,Tae Woong Uhm","Action,Romance",5.9,2013.0,tv series
"90 Days, Time to Love",2006–07,977891,90 Days of Love,kr,"3846506,1474184,1113667,1936372,2196022,6327190,2579464,2518549,2441342","Jang-wu Lee,Miles Meili,Seong-ho Choi,Hye-Young Jung,Ji-Hwan Kang,Ha-neul Kim,Hyeong-beom Kim,Hee-seok Yun,Hyeon-suk Yun","Drama,Romance",7.5,2006.0,tv mini series
A Beautiful Mind,2016,5244184,A Beautiful Mind,,"7096462,4795328,6520822,4943150,7552517,7625740,3793325,0242595,6062893,7766288,7706739,2114091,7775854,6223542,6555308,7360223,2426674,7499127,7782664,6018656,5424541,2490267","Denise Antoine,Chris Chirdon,Lauren Collier,Linda Collins,Michael Connell,Mateo d'Amato,Christine Donnelly,Ian Campbell Dunn,Laura Frenzer,Katelyn Hicks,Charles Stuart Kennedy,Suzanne Kimball,Suzanne Kimball,Nikki Lowe,Pat McCarthy,Jakob Minevich,Ryan Redebaugh,Syd Richardson,Jenna Ross,Bartek Szymanski,Shelley Valfer,Terrell Wheeler",Crime,,2016.0,episode
